topic_id,title,category,keywords,synonyms,negative_keywords,target_artifact,prelim_priority
T01,Cross-judge agreement on long-context QA,eval,LLM judge|long context QA|inter-judge agreement,evaluator agreement;automatic evaluator,unrelated chatbot,benchmark,3
T02,Position-bias quantification across judge models,eval,position bias|LLM judge|preference order,order bias;ordering effect,unrelated UI,empirical+harness,3
T03,Self-preference bias in same-family judges,eval,self-preference bias|LLM judge|same family,model family preference;self bias,unrelated retrieval,empirical,3
T04,Prompt-template sensitivity benchmark for clinical-domain LLM judges,eval,LLM judge|prompt template sensitivity|clinical NLP|robustness,clinical question answering;medical QA;judge prompt;evaluator prompt,general chatbot,benchmark+tool,5
T05,Judge confidence calibration vs human gold,eval,LLM judge|calibration|human gold|reliability,judge confidence;reliability of judges,unrelated calibration,empirical,4
T06,Pairwise vs pointwise judge agreement under perturbation,eval,LLM judge|pairwise|pointwise|perturbation,pairwise comparison;pointwise scoring,unrelated retrieval,empirical,3
T07,Judge robustness to candidate-side prompt injection,eval+safety,LLM judge|prompt injection|adversarial robustness,evaluator manipulation;injection attack,general red teaming,benchmark,5
T08,Cost-quality Pareto small open judges vs frontier,eval,LLM judge|cost quality|open model|frontier,small judge model;efficient evaluator,unrelated cost,empirical,4
T09,Judge consistency under temperature/seed variation,eval,LLM judge|temperature|seed|variance,sampling variance;judge stochasticity,unrelated tuning,empirical,3
T10,Reproducibility audit of LLM-judge papers,meta,LLM-as-a-judge|reproducibility|methodology disclosure|evaluation,LLM judge;automatic evaluator;LLM evaluator;model-based evaluation,tutorial;workshop summary,database+paper,5
T11,Format sensitivity benchmark on LLM evaluations,prompt,format sensitivity|JSON YAML prose|benchmark variance,output format;structured output,unrelated UI,benchmark,4
T12,Instruction reordering effects on classification,prompt,instruction reordering|prompt order|classification,prompt permutation;instruction sequence,unrelated permutation,empirical,3
T13,Whitespace and punctuation sensitivity in math reasoning,prompt,whitespace sensitivity|punctuation|math reasoning,formatting sensitivity;tokenization spaces,unrelated tokenization,empirical,2
T14,Few-shot order effects on healthcare-domain prompts,prompt+healthcare,few-shot order|healthcare prompt|in-context examples,clinical few-shot;medical prompting,unrelated few-shot,empirical,4
T15,System vs user prompt placement on safety refusals,safety,system prompt|user prompt|safety refusal,prompt role;safety behavior,unrelated alignment,empirical,3
T16,CoT scratchpad-length sensitivity,prompt,chain of thought|scratchpad length|reasoning length,CoT length;reasoning depth,unrelated decoding,empirical,2
T17,Tokenization-induced leaderboard variance,eval,tokenizer|BPE|leaderboard variance|evaluation noise,subword;encoding effects,compiler tokenizers,empirical,4
T18,Multilingual prompt sensitivity asymmetries,prompt,multilingual prompt|cross-lingual sensitivity|language asymmetry,multilingual robustness;cross-lingual evaluation,translation quality unrelated,empirical,3
