topic_id,title,category,keywords,synonyms,negative_keywords,target_artifact,prelim_priority,parent_topic_id,narrowing_type,narrowing_note,est_relevance_purity,est_kept_papers,est_hi_papers,est_citation_signal,est_artifact,est_saturation,est_evidence_quality,est_niw,est_eb1a,est_career,est_novelty_risk,est_exec_feasibility,composite_score,purity_gain_vs_parent
T04_N1,Prompt-template sensitivity benchmark for clinical-domain LLM judges — noise-pruned,eval,LLM judge|prompt template sensitivity,clinical question answering;medical QA;judge prompt;evaluator prompt,general chatbot;clinical NLP;robustness,benchmark+tool,5,T04,noise_pruned,"removed noisy secondaries=['clinical NLP', 'robustness']; added to negatives",0.5,11,11,2,3,2,3,5,5,5,MEDIUM,HIGH,0.675,0.25
T10_N1,Reproducibility audit of LLM-judge papers — noise-pruned,meta,LLM-as-a-judge|methodology disclosure,LLM judge;automatic evaluator;LLM evaluator;model-based evaluation,tutorial;workshop summary;reproducibility;evaluation,database+paper,5,T10,noise_pruned,"removed noisy secondaries=['reproducibility', 'evaluation']; added to negatives",0.5,12,8,4,3,2,4,3,5,4,MEDIUM,HIGH,0.665,0.25
T07_N2,Judge robustness to candidate-side prompt injection — via jailbreak,eval+safety,jailbreak|prompt injection,evaluator manipulation,general red teaming;LLM judge;adversarial robustness,benchmark,5,T07,synonym_promoted,promoted synonym 'jailbreak' to primary,0.25,15,2,4,2,2,3,4,5,5,LOW,HIGH,0.65,0.0
T37_N2,Clinical-guideline consistency across LLM versions over time — noise-pruned,healthcare,clinical guideline|LLM versioning,USPSTF;CDC guidelines;NICE;medical advice consistency,drug discovery;model drift;longitudinal evaluation,empirical,5,T37,noise_pruned,"removed noisy secondaries=['model drift', 'longitudinal evaluation']; added to negatives",0.5,9,9,4,3,2,3,5,4,2,MEDIUM,HIGH,0.625,0.25
T53_N5,Test-set contamination audit of healthcare LLM benchmarks — noise-pruned,methodology,data contamination|benchmark leakage|PubMedQA|MMLU clinical,training data leakage;memorization;n-gram overlap,unrelated NLP;MedQA,empirical+database,5,T53,noise_pruned,removed noisy secondaries=['MedQA']; added to negatives,0.5,34,33,4,2,4,4,5,4,3,HIGH,HIGH,0.625,0.0
T07_N1,Judge robustness to candidate-side prompt injection — noise-pruned,eval+safety,prompt injection,jailbreak;evaluator manipulation,general red teaming;LLM judge;adversarial robustness,benchmark,5,T07,noise_pruned,"removed noisy secondaries=['LLM judge', 'adversarial robustness']; added to negatives",0.5,14,14,2,2,2,3,4,5,5,MEDIUM,HIGH,0.625,0.0
T11_N1,Format sensitivity benchmark on LLM evaluations — tightened,prompt,format sensitivity|JSON YAML prose|benchmark variance,output format;structured output,unrelated UI,benchmark,4,T11,tightened_negatives,fallback: added noisy terms to negative_keywords only,0.25,3,1,2,4,3,1,2,5,5,LOW,HIGH,0.5575,0.0
T10_N2,Reproducibility audit of LLM-judge papers — via LLM judge,meta,LLM judge|LLM-as-a-judge|methodology disclosure,methodology disclosure|automatic evaluator|LLM evaluator|model-based evaluation,tutorial;workshop summary;reproducibility;evaluation,database+paper,5,T10,synonym_promoted,promoted synonym 'LLM judge' to primary,0.25,17,7,4,2,2,3,3,5,4,MEDIUM,HIGH,0.5475,0.0
T74_N1,Open structured-metadata dataset of LLM-eval papers — noise-pruned,meta,LLM evaluation methodology,evaluation survey;benchmarking practices,tutorial;metadata;systematic mapping,dataset,5,T74,noise_pruned,"removed noisy secondaries=['metadata', 'systematic mapping']; added to negatives",0.5,1,1,1,3,3,1,2,4,4,LOW,HIGH,0.535,0.25
T37_N3,Clinical-guideline consistency across LLM versions over time — pivoted to 'diagnosis management',healthcare,diagnosis management|clinical guideline|LLM versioning,USPSTF;CDC guidelines;NICE;medical advice consistency,drug discovery;model drift;longitudinal evaluation,empirical,5,T37,compound_pivot,pivoted primary to hi-paper anchor 'diagnosis management',0.25,9,0,4,2,2,2,5,4,2,LOW,HIGH,0.5075,0.0
T53_N1,Test-set contamination audit of healthcare LLM benchmarks — focused on reinforcement learning,methodology,data contamination reinforcement learning|benchmark leakage|PubMedQA,training data leakage;memorization;n-gram overlap,unrelated NLP;MedQA,empirical+database,5,T53,primary_anchor,compound primary='data contamination reinforcement learning'; dropped noisy=['MedQA'],0.25,1,0,1,2,3,1,5,4,3,LOW,HIGH,0.5,0.0
T25_N1,Hallucination taxonomy: RAG vs no-RAG — noise-pruned,rag,retrieval augmented generation|hallucination taxonomy,grounded generation;citation correctness,unrelated retrieval;faithfulness,taxonomy+paper,4,T25,noise_pruned,removed noisy secondaries=['faithfulness']; added to negatives,0.5,2,2,1,3,1,1,2,3,3,LOW,HIGH,0.485,0.25
