title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
Magic Sequence: LLM evaluation methodology of logical problem solving for sequence manipulation. Application to mathematical magic tricks,,2025,2025 2nd International Generative AI and Computational Language Modelling Conference (GACLM),0,0,10.1109/gaclm67198.2025.11232232,https://doi.org/10.1109/gaclm67198.2025.11232232,crossref,Hugues Ali Mehenni|Laurent Cervoni,0.5,primary:title:llm evaluation methodology,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Glaserian Systematic Mapping Study: An Integrating Methodology,,2022,Proceedings of the 17th International Conference on Evaluation of Novel Approaches to Software Engineering,4,0,10.5220/0011090500003176,https://doi.org/10.5220/0011090500003176,crossref,Gustavo Navas|Agustín Yagüe,0.25,kw:title:systematic mapping,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
A Systematic Mapping Study on Quantum Circuits Design Patterns,,2023,Proceedings of the 25th International Conference on Enterprise Information Systems,4,0,10.5220/0011744000003467,https://doi.org/10.5220/0011744000003467,crossref,Sergio Jiménez-Fernández|José Cruz-Lemus|Mario Piattini,0.25,kw:title:systematic mapping,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Micro-Frontend Architecture in Software Development: A Systematic Mapping Study,,2025,Proceedings of the 27th International Conference on Enterprise Information Systems,3,0,10.5220/0013195800003929,https://doi.org/10.5220/0013195800003929,crossref,Giovanni Cunha de Amorim|Edna Canedo,0.25,kw:title:systematic mapping,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
A Systematic Mapping Study on Impact Analysis,,2024,Proceedings of the 19th International Conference on Software Technologies,1,0,10.5220/0012758200003753,https://doi.org/10.5220/0012758200003753,crossref,Emanuele Gentili|Jonida Çarka|Davide Falessi,0.25,kw:title:systematic mapping,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Microfront-End: Systematic Mapping,,2024,Proceedings of the 20th International Conference on Web Information Systems and Technologies,1,0,10.5220/0013015400003825,https://doi.org/10.5220/0013015400003825,crossref,Luiz Santos|Marcus Silva|Shexmo Santos|Fábio Rocha|Elisrenan Barbosa da Silva,0.25,kw:title:systematic mapping,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Machine Learning Classification in Cardiology: A Systematic Mapping Study,,2024,"Proceedings of the 13th International Conference on Data Science, Technology and Applications",1,0,10.5220/0012785600003756,https://doi.org/10.5220/0012785600003756,crossref,Khadija Anejjar|Fatima Amazal|Ali Idri,0.25,kw:title:systematic mapping,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Mapping Metadata Inequities: Regional Disparities in Scholarly Metadata,,2025,,0,0,10.13003/je3m9-dgw89,https://doi.org/10.13003/je3m9-dgw89,crossref,Luis Montilla,0.25,kw:title:metadata,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Metadata Maturity,,2022,Metadata matters,0,0,10.1201/9781003189732-12,https://doi.org/10.1201/9781003189732-12,crossref,John Horodyski,0.25,kw:title:metadata,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Award Metadata @ DataCite,"<jats:p>Ted Habermann, Metadata Game ChangersCite this blog as Habermann, T. and Robinson E. (2025). DataCite Bright Spots. Front Matter. https://doi.org/10.59350/z0nex-23v25Finding research objects that are related to a particular funder i...",2025,,0,0,10.59350/7tf6v-5h342,https://doi.org/10.59350/7tf6v-5h342,crossref,Ted Habermann,0.25,kw:title:metadata,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Mapping the Open-Source Landscape: A Systematic Mapping and Ecosystem Analysis of Evidence Synthesis Software,"<p>Objective: The evidence synthesis software landscape is defined by the tension between the reproducibility of open-source software (OSS) and the usability of proprietary ""black box"" solutions. While OSS is critical for transparency, its ...",2026,,0,0,10.31222/osf.io/7uskw_v1,https://doi.org/10.31222/osf.io/7uskw_v1,crossref,Vihaan Sahu,0.25,kw:title:systematic mapping,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
