topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
B02,paper,Instruction-Augmented Long-Horizon Planning: Embedding Grounding Mechanisms in Embodied Mobile Manipulation,https://doi.org/10.48550/arXiv.2503.08084,10.48550/arXiv.2503.08084,2025,AAAI Conference on Artificial Intelligence,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Instruction-Augmented Long-Horizon Planning: Embedding Grounding Mechanisms in Embodied Mobile Manip' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,Learning for Long-Horizon Planning via Neuro-Symbolic Abductive Imitation,https://doi.org/10.48550/arXiv.2411.18201,10.48550/arXiv.2411.18201,2024,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Learning for Long-Horizon Planning via Neuro-Symbolic Abductive Imitation' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,NOD-TAMP: Generalizable Long-Horizon Planning with Neural Object Descriptors,,,2023,Conference on Robot Learning,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'NOD-TAMP: Generalizable Long-Horizon Planning with Neural Object Descriptors' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,HeroBench: A Benchmark for Long-Horizon Planning and Structured Reasoning in Virtual Worlds,https://doi.org/10.48550/arXiv.2508.12782,10.48550/arXiv.2508.12782,2025,arXiv.org,benchmark,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'HeroBench: A Benchmark for Long-Horizon Planning and Structured Reasoning in Virtual Worlds' contributes a 'benchmark' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,Beyond Policy Optimization: A Data Curation Flywheel for Sparse-Reward Long-Horizon Planning,https://doi.org/10.48550/arXiv.2508.03018,10.48550/arXiv.2508.03018,2025,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Beyond Policy Optimization: A Data Curation Flywheel for Sparse-Reward Long-Horizon Planning' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,Few-Shot Neuro-Symbolic Imitation Learning for Long-Horizon Planning and Acting,https://doi.org/10.48550/arXiv.2508.21501,10.48550/arXiv.2508.21501,2025,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Few-Shot Neuro-Symbolic Imitation Learning for Long-Horizon Planning and Acting' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,Accelerating Long-Horizon Planning with Affordance-Directed Dynamic Grounding of Abstract Strategies,https://doi.org/10.1109/ICRA57147.2024.10610486,10.1109/ICRA57147.2024.10610486,2024,IEEE International Conference on Robotics and Automation,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Accelerating Long-Horizon Planning with Affordance-Directed Dynamic Grounding of Abstract Strategies' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,EVOLVING ARCHITECTURES AND LONG-HORIZON PLANNING IN MULTI-AGENT CONVERSATIONAL AI: A DECADE IN REVIEW,https://doi.org/10.37547/tajiir/volume07issue07-10,10.37547/tajiir/volume07issue07-10,2025,The American Journal of Interdisciplinary Innovations and Research,survey,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'EVOLVING ARCHITECTURES AND LONG-HORIZON PLANNING IN MULTI-AGENT CONVERSATIONAL AI: A DECADE IN REVIE' contributes a 'survey' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,Empowering LLMs with Parameterized Skills for Adversarial Long-Horizon Planning,https://doi.org/10.1109/IJCNN64981.2025.11227831,10.1109/IJCNN64981.2025.11227831,2025,IEEE International Joint Conference on Neural Network,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Empowering LLMs with Parameterized Skills for Adversarial Long-Horizon Planning' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B02,paper,Compositional Diffusion with Guided Search for Long-Horizon Planning,https://doi.org/10.48550/arXiv.2601.00126,10.48550/arXiv.2601.00126,2025,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Compositional Diffusion with Guided Search for Long-Horizon Planning' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:long-horizon planning.,Our proposed work focuses specifically on 'Long-horizon agent planning failure modes'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
