title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
First ‘NICE-curated’ clinical guideline announced,,2025,Pharmaceutical Journal,0,0,10.1211/pj.2025.1.372584,https://doi.org/10.1211/pj.2025.1.372584,crossref,,0.625,primary:title:clinical guideline|syn:title:nice,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=5.0
"CDC Clinical Guidelines on the Use of Doxycycline Postexposure Prophylaxis for Bacterial Sexually Transmitted Infection Prevention, United States, 2024","Summary No vaccines and few chemoprophylaxis options exist for the prevention of bacterial sexually transmitted infections (STIs) (specifically syphilis, chlamydia, and gonorrhea). These infections have increased in the United States and di...",2024,MMWR Recommendations and Reports,159,6,10.15585/mmwr.rr7302a1,https://doi.org/10.15585/mmwr.rr7302a1,semantic_scholar,Laura H. Bachmann|L. Barbee|Philip A Chan|Hilary Reno|Kimberly A. Workowski|Karen W. Hoover|Jonathan Mermin|Leandro Mena,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline: Diagnosis and Management of Eosinophilic Esophagitis.,Eosinophilic esophagitis (EoE) is a chronic immune-mediated disease of the esophagus. It is diagnosed in the setting of symptoms of esophageal dysfunction and an eosinophilic predominant infiltrate in the esophagus. The condition is rapidly...,2025,American Journal of Gastroenterology,115,11,10.14309/ajg.0000000000003194,https://doi.org/10.14309/ajg.0000000000003194,semantic_scholar,Evan S. Dellon|A. Muir|David A. Katzka|Shailja C. Shah|Bryan G. Sauer|S. Aceves|Glenn T. Furuta|N. Gonsalves|I. Hirano,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline Update: Ulcerative Colitis in Adults,Ulcerative colitis is an idiopathic inflammatory disorder of unknown etiology that seems to be rising in incidence and prevalence throughout the world. These guidelines were developed to indicate the preferred approach to the management of ...,2025,American Journal of Gastroenterology,76,0,10.14309/ajg.0000000000003463,https://doi.org/10.14309/ajg.0000000000003463,semantic_scholar,David T. Rubin|Ashwin N. Ananthakrishnan|Corey A. Siegel|Edward L. Barnes|Millie D. Long,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline: Management of Crohn's Disease in Adults,"Crohn's disease (CD) is an idiopathic inflammatory disorder of unknown etiology with genetic, immunologic, and environmental influences. The incidence of CD has steadily increased over the past several decades. The diagnosis and treatment o...",2025,American Journal of Gastroenterology,63,4,10.14309/ajg.0000000000003465,https://doi.org/10.14309/ajg.0000000000003465,semantic_scholar,Gary R. Lichtenstein|Edward V. Loftus|Anita Afzali|Millie D. Long|Edward L. Barnes|K. Isaacs|Christina Y. Ha,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline: Malnutrition and Nutritional Recommendations in Liver Disease,"Malnutrition, defined as deficiency, excess, or imbalance of nutrients, is a common complication in patients with liver disease, especially those with cirrhosis. Malnutrition may present as an isolated micronutrient deficiency, such as zinc...",2025,American Journal of Gastroenterology,40,2,10.14309/ajg.0000000000003379,https://doi.org/10.14309/ajg.0000000000003379,semantic_scholar,Ashwani K. Singal|Robert J. Wong|S. Dasarathy|Manal F. Abdelmalek|Brent A. Neuschwander-Tetri|B. Limketkai|Jessica Petrey|C. McClain,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline: Diagnosis and Management of Gastric Premalignant Conditions,"Gastric premalignant conditions (GPMC) are common and include atrophic gastritis, gastric intestinal metaplasia, dysplasia, and certain gastric epithelial polyps. GPMC have an increased risk of progression to gastric adenocarcinoma. Gastric...",2025,American Journal of Gastroenterology,37,1,10.14309/ajg.0000000000003350,https://doi.org/10.14309/ajg.0000000000003350,semantic_scholar,Douglas R. Morgan|J. E. Corral|Dan Li|E. Montgomery|A. Riquelme|John J. Kim|Bryan G. Sauer|Shailja C. Shah,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
The 2024 UK clinical guideline for the prevention and treatment of osteoporosis,"The National Osteoporosis Guideline Group (NOGG) has updated the revised UK guideline for the assessment and management of osteoporosis and the prevention of fragility fractures in postmenopausal women, and men age 50 years and older. This ...",2025,Archives of Osteoporosis,36,1,10.1007/s11657-025-01588-3,https://doi.org/10.1007/s11657-025-01588-3,semantic_scholar,C. Gregson|David J Armstrong|C. Avgerinou|J. Bowden|Cyrus Cooper|L. Douglas|J. Edwards|N. Gittoes|N. Harvey|J. Kanis|S. Leyland|Rebecca Low|Eugene McCloskey|Katie Moss|Jane Parker|Z. Paskins|K. Poole|D. M. Reid|M. Stone|Julia Tomson|Nic Vine|Juliet Compston,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline Update: Preventive Care in Inflammatory Bowel Disease.,"Patients with inflammatory bowel disease (IBD) often consider their gastroenterologist to be the primary provider of care. To improve the care delivered to patients with IBD, health maintenance issues need to be addressed by the gastroenter...",2025,American Journal of Gastroenterology,16,1,10.14309/ajg.0000000000003541,https://doi.org/10.14309/ajg.0000000000003541,semantic_scholar,F. Farraye|Gil Y. Melmed|Gary R. Lichtenstein|Edward L. Barnes|B. Limketkai|Freddy Caldera|Sunanda V Kane,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Appraisal of Clinical Practice Guideline: Australian Clinical Guideline for Physical Rehabilitation and Mobilisation in Adult Intensive Care Units: 2023,,2024,Journal of Physiotherapy,0,0,10.1016/j.jphys.2024.05.009,https://doi.org/10.1016/j.jphys.2024.05.009,crossref,Thomas C Rollinson,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
"CDC Guidelines for the Prevention and Treatment of Anthrax, 2023",Summary This report updates previous CDC guidelines and recommendations on preferred prevention and treatment regimens regarding naturally occurring anthrax. Also provided are a wide range of alternative regimens to first-line antimicrobial...,2023,MMWR Recommendations and Reports,35,4,10.15585/mmwr.rr7206a1,https://doi.org/10.15585/mmwr.rr7206a1,semantic_scholar,William A Bower|Yon C. Yu|M. Person|Corinne M. Parker|Jordan L Kennedy|David Sue|Elisabeth M. Hesse|Rachel T. Cook|John S Bradley|Jürgen B. Bulitta|Adolf W. Karchmer|Robert M. Ward|S. Cato|Kevin Chatham Stephens|K. Hendricks,0.312,primary:abstract:clinical guideline|syn:title:cdc guidelines,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=2.5
Model Drift in Dynamic Networks,"With the introduction of 5G and beyond networks, increasing intelligence and automation levels are being employed in managing and orchestrating virtualized networks. Through Machine Learning (ML) models, Network Service Providers (NSPs) can...",2023,IEEE Communications Magazine,32,0,10.1109/MCOM.003.2200306,https://doi.org/10.1109/MCOM.003.2200306,semantic_scholar,D. Manias|Ali Chouman|A. Shami,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"Performance of GPT-4 on the American College of Radiology In-training Examination: Evaluating Accuracy, Model Drift, and Fine-tuning.","RATIONALE AND OBJECTIVES In our study, we evaluate GPT-4's performance on the American College of Radiology (ACR) 2022 Diagnostic Radiology In-Training Examination (DXIT). We perform multiple experiments across time points to assess for mod...",2024,Academic Radiology,28,5,10.1016/j.acra.2024.04.006,https://doi.org/10.1016/j.acra.2024.04.006,semantic_scholar,David L. Payne|Kush Purohit|Walter Morales Borrero|Katherine Chung|Max Hao|M. Mpoy|Michael Jin|Prateek Prasanna|V. Hill,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Machine Learning Model Drift: Predicting Diagnostic Imaging Follow-Up as a Case Example.,OBJECTIVE Address model drift in a machine learning (ML) model for predicting diagnostic imaging follow-up using data augmentation with more recent data versus retraining new predictive models. METHODS This institutional review board-approv...,2022,Journal of the American College of Radiology,28,2,10.1016/j.jacr.2022.05.030,https://doi.org/10.1016/j.jacr.2022.05.030,semantic_scholar,Ronilda C. Lacson|Mahsa Eskian|Andro Licaros|Neena Kapoor|R. Khorasani,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Tackling data and model drift in AI: Strategies for maintaining accuracy during ML model inference,"In machine learning (ML) and artificial intelligence (AI), model accuracy over time is very important, particularly in dynamic environments where data and relationships change. Data and model drift pose challenging issues that this paper se...",2023,International Journal of Science and Research Archive,26,2,10.30574/ijsra.2023.10.2.0855,https://doi.org/10.30574/ijsra.2023.10.2.0855,semantic_scholar,Surya Gangadhar Patchipala,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Understanding Model Drift and Its Impact on Health Care Policy.,,2025,JAMA Health Forum,10,0,10.1001/jamahealthforum.2025.2724,https://doi.org/10.1001/jamahealthforum.2025.2724,semantic_scholar,Andrew Wong|Jeremy B Sussman,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Susceptibility of AutoML mortality prediction algorithms to model drift caused by the COVID pandemic,"Concept drift and covariate shift lead to a degradation of machine learning (ML) models. The objective of our study was to characterize sudden data drift as caused by the COVID pandemic. Furthermore, we investigated the suitability of certa...",2024,BMC Medical Informatics and Decision Making,9,0,10.1186/s12911-024-02428-z,https://doi.org/10.1186/s12911-024-02428-z,semantic_scholar,S. Kagerbauer|B. Ulm|A. Podtschaske|D. I. Andonov|Manfred Blobner|Bettina Jungwirth|Martin Graessner,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Explainable Artificial Intelligence-Based Model Drift Detection Applicable to Unsupervised Environments,,2023,"Computers, Materials &amp; Continua",8,1,10.32604/cmc.2023.040235,https://doi.org/10.32604/cmc.2023.040235,semantic_scholar,Yongsoo Lee|Yeeun Lee|Eungyu Lee|Taejin Lee,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
