title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
First ‘NICE-curated’ clinical guideline announced,,2025,Pharmaceutical Journal,0,0,10.1211/pj.2025.1.372584,https://doi.org/10.1211/pj.2025.1.372584,crossref,,0.625,primary:title:clinical guideline|syn:title:nice,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=5.0
ACG Clinical Guideline: Diagnosis and Management of Eosinophilic Esophagitis.,Eosinophilic esophagitis (EoE) is a chronic immune-mediated disease of the esophagus. It is diagnosed in the setting of symptoms of esophageal dysfunction and an eosinophilic predominant infiltrate in the esophagus. The condition is rapidly...,2025,American Journal of Gastroenterology,115,11,10.14309/ajg.0000000000003194,https://doi.org/10.14309/ajg.0000000000003194,semantic_scholar,Evan S. Dellon|A. Muir|David A. Katzka|Shailja C. Shah|Bryan G. Sauer|S. Aceves|Glenn T. Furuta|N. Gonsalves|I. Hirano,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline Update: Ulcerative Colitis in Adults,Ulcerative colitis is an idiopathic inflammatory disorder of unknown etiology that seems to be rising in incidence and prevalence throughout the world. These guidelines were developed to indicate the preferred approach to the management of ...,2025,American Journal of Gastroenterology,76,0,10.14309/ajg.0000000000003463,https://doi.org/10.14309/ajg.0000000000003463,semantic_scholar,David T. Rubin|Ashwin N. Ananthakrishnan|Corey A. Siegel|Edward L. Barnes|Millie D. Long,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline: Management of Crohn's Disease in Adults,"Crohn's disease (CD) is an idiopathic inflammatory disorder of unknown etiology with genetic, immunologic, and environmental influences. The incidence of CD has steadily increased over the past several decades. The diagnosis and treatment o...",2025,American Journal of Gastroenterology,63,4,10.14309/ajg.0000000000003465,https://doi.org/10.14309/ajg.0000000000003465,semantic_scholar,Gary R. Lichtenstein|Edward V. Loftus|Anita Afzali|Millie D. Long|Edward L. Barnes|K. Isaacs|Christina Y. Ha,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline: Malnutrition and Nutritional Recommendations in Liver Disease,"Malnutrition, defined as deficiency, excess, or imbalance of nutrients, is a common complication in patients with liver disease, especially those with cirrhosis. Malnutrition may present as an isolated micronutrient deficiency, such as zinc...",2025,American Journal of Gastroenterology,40,2,10.14309/ajg.0000000000003379,https://doi.org/10.14309/ajg.0000000000003379,semantic_scholar,Ashwani K. Singal|Robert J. Wong|S. Dasarathy|Manal F. Abdelmalek|Brent A. Neuschwander-Tetri|B. Limketkai|Jessica Petrey|C. McClain,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline: Diagnosis and Management of Gastric Premalignant Conditions,"Gastric premalignant conditions (GPMC) are common and include atrophic gastritis, gastric intestinal metaplasia, dysplasia, and certain gastric epithelial polyps. GPMC have an increased risk of progression to gastric adenocarcinoma. Gastric...",2025,American Journal of Gastroenterology,37,1,10.14309/ajg.0000000000003350,https://doi.org/10.14309/ajg.0000000000003350,semantic_scholar,Douglas R. Morgan|J. E. Corral|Dan Li|E. Montgomery|A. Riquelme|John J. Kim|Bryan G. Sauer|Shailja C. Shah,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
The 2024 UK clinical guideline for the prevention and treatment of osteoporosis,"The National Osteoporosis Guideline Group (NOGG) has updated the revised UK guideline for the assessment and management of osteoporosis and the prevention of fragility fractures in postmenopausal women, and men age 50 years and older. This ...",2025,Archives of Osteoporosis,36,1,10.1007/s11657-025-01588-3,https://doi.org/10.1007/s11657-025-01588-3,semantic_scholar,C. Gregson|David J Armstrong|C. Avgerinou|J. Bowden|Cyrus Cooper|L. Douglas|J. Edwards|N. Gittoes|N. Harvey|J. Kanis|S. Leyland|Rebecca Low|Eugene McCloskey|Katie Moss|Jane Parker|Z. Paskins|K. Poole|D. M. Reid|M. Stone|Julia Tomson|Nic Vine|Juliet Compston,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
ACG Clinical Guideline Update: Preventive Care in Inflammatory Bowel Disease.,"Patients with inflammatory bowel disease (IBD) often consider their gastroenterologist to be the primary provider of care. To improve the care delivered to patients with IBD, health maintenance issues need to be addressed by the gastroenter...",2025,American Journal of Gastroenterology,16,1,10.14309/ajg.0000000000003541,https://doi.org/10.14309/ajg.0000000000003541,semantic_scholar,F. Farraye|Gil Y. Melmed|Gary R. Lichtenstein|Edward L. Barnes|B. Limketkai|Freddy Caldera|Sunanda V Kane,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Appraisal of Clinical Practice Guideline: Australian Clinical Guideline for Physical Rehabilitation and Mobilisation in Adult Intensive Care Units: 2023,,2024,Journal of Physiotherapy,0,0,10.1016/j.jphys.2024.05.009,https://doi.org/10.1016/j.jphys.2024.05.009,crossref,Thomas C Rollinson,0.5,primary:title:clinical guideline,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
Model Drift in Dynamic Networks,"With the introduction of 5G and beyond networks, increasing intelligence and automation levels are being employed in managing and orchestrating virtualized networks. Through Machine Learning (ML) models, Network Service Providers (NSPs) can...",2023,IEEE Communications Magazine,32,0,10.1109/MCOM.003.2200306,https://doi.org/10.1109/MCOM.003.2200306,semantic_scholar,D. Manias|Ali Chouman|A. Shami,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
