topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
NC06_NC,paper,"Validity: Criterion, Concurrent, Ecological, and Predictive",https://doi.org/10.4324/9780367198459-reprw156-1,10.4324/9780367198459-reprw156-1,2022,"Validity: Criterion, Concurrent, Ecological, and Predictive",paper,PARTIAL_OVERLAP,0.5,,"Relevance 0.50: paper titled 'Validity: Criterion, Concurrent, Ecological, and Predictive' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:predictive.",Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,Introduction – ‘Predictive intelligence for tomorrow's threats': is predictive intelligence possible?,https://doi.org/10.4324/9781003603856-1,10.4324/9781003603856-1,2025,Predictive Intelligence for Tomorrow’s Threats,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Introduction – ‘Predictive intelligence for tomorrow's threats': is predictive intelligence possible' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:predictive.,Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,Generalised Predictive Control with Long Range Predictive Identification (LRPI) for Multivariable Anaesthesia,https://doi.org/10.1201/9781003572824-7,10.1201/9781003572824-7,2024,Generalized Predictive Control And Bioengineering,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Generalised Predictive Control with Long Range Predictive Identification (LRPI) for Multivariable An' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:predictive.,Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,Basic Sciences - Positive/Neg Predictive Value,https://doi.org/10.1302/3114-240598,10.1302/3114-240598,2024,OrthoMedia,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Basic Sciences - Positive/Neg Predictive Value' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:predictive.,Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,Predictive Coding,https://doi.org/10.7551/mitpress/14723.003.0008,10.7551/mitpress/14723.003.0008,2023,Gradient Expectations,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Predictive Coding' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:predictive.,Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,"Emergent Predictive Experience Theory (EPET): A Constitutive, Emergentist-Predictive Account of Qualia",https://doi.org/10.31234/osf.io/nfver_v1,10.31234/osf.io/nfver_v1,2025,,paper,PARTIAL_OVERLAP,0.5,,"Relevance 0.50: paper titled 'Emergent Predictive Experience Theory (EPET): A Constitutive, Emergentist-Predictive Account of Qual' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:predictive.",Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,Predictive variables and exploratory analysis,https://doi.org/10.1201/9781003091776-2,10.1201/9781003091776-2,2022,Spatial Predictive Modeling with R,empirical,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Predictive variables and exploratory analysis' contributes a 'empirical' matching target artifact 'paper'. Matched keywords: primary:title:predictive.,Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,Robust Model Predictive Control,https://doi.org/10.1002/9781119471455.ch10,10.1002/9781119471455.ch10,2024,Model Predictive Control,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Robust Model Predictive Control' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:predictive.,Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,Applications and comparisons of spatial predictive methods,https://doi.org/10.1201/9781003091776-12,10.1201/9781003091776-12,2022,Spatial Predictive Modeling with R,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Applications and comparisons of spatial predictive methods' contributes a 'paper' matching target artifact 'paper'. Matched keywords: primary:title:predictive.,Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC06_NC,paper,"A Meta-Discipline for Predictive Systems Governance, Capacity Intelligence, and Predictive System Stability",https://doi.org/10.2139/ssrn.6429084,10.2139/ssrn.6429084,2026,,tool,PARTIAL_OVERLAP,0.5,,"Relevance 0.50: paper titled 'A Meta-Discipline for Predictive Systems Governance, Capacity Intelligence, and Predictive System St' contributes a 'tool' matching target artifact 'paper'. Matched keywords: primary:title:predictive.",Our proposed work focuses specifically on 'Predictive modeling in healthcare [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
