topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
T04,paper,Pretrained Biomedical Language Models for Clinical NLP in Spanish,https://doi.org/10.18653/v1/2022.bionlp-1.19,10.18653/v1/2022.bionlp-1.19,2022,Workshop on Biomedical Natural Language Processing,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Pretrained Biomedical Language Models for Clinical NLP in Spanish' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:clinical nlp.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,LlamaCare: An Instruction Fine-Tuned Large Language Model for Clinical NLP,https://doi.org/10.63317/2tpe9brgzmcg,10.63317/2tpe9brgzmcg,2024,International Conference on Language Resources and Evaluation,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'LlamaCare: An Instruction Fine-Tuned Large Language Model for Clinical NLP' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:clinical nlp.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,Sensitivity and Robustness of Large Language Models to Prompt Template in Japanese Text Classification Tasks,,,2023,"Pacific Asia Conference on Language, Information and Computation",paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Sensitivity and Robustness of Large Language Models to Prompt Template in Japanese Text Classificati' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:robustness.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,BioClinical ModernBERT: A State-of-the-Art Long-Context Encoder for Biomedical and Clinical NLP,https://doi.org/10.48550/arXiv.2506.10896,10.48550/arXiv.2506.10896,2025,arXiv.org,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'BioClinical ModernBERT: A State-of-the-Art Long-Context Encoder for Biomedical and Clinical NLP' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:clinical nlp.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,Clinical NLP with Attention-Based Deep Learning for Multi-Disease Prediction,https://doi.org/10.1109/RAIIC65850.2025.11170309,10.1109/RAIIC65850.2025.11170309,2025,"2025 4th International Conference on Robotics, Artificial Intelligence and Intelligent Control (RAIIC)",paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Clinical NLP with Attention-Based Deep Learning for Multi-Disease Prediction' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:clinical nlp.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,The DRAGON benchmark for clinical NLP,https://doi.org/10.1038/s41746-025-01626-x,10.1038/s41746-025-01626-x,2025,npj Digital Medicine,benchmark,ADJACENT,0.25,,Relevance 0.25: paper titled 'The DRAGON benchmark for clinical NLP' contributes a 'benchmark' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:clinical nlp.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,The Impact of LoRA Adapters for LLMs on Clinical NLP Classification Under Data Limitations,https://doi.org/10.48550/arXiv.2407.19299,10.48550/arXiv.2407.19299,2024,arXiv.org,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'The Impact of LoRA Adapters for LLMs on Clinical NLP Classification Under Data Limitations' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:clinical nlp.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,Sensitivity and Robustness of Large Language Models to Prompt in Japanese,https://doi.org/10.48550/arXiv.2305.08714,10.48550/arXiv.2305.08714,2023,arXiv.org,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Sensitivity and Robustness of Large Language Models to Prompt in Japanese' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:robustness.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,Edinburgh Clinical NLP at SemEval-2024 Task 2: Fine-tune your model unless you have access to GPT-4,https://doi.org/10.48550/arXiv.2404.00484,10.48550/arXiv.2404.00484,2024,International Workshop on Semantic Evaluation,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Edinburgh Clinical NLP at SemEval-2024 Task 2: Fine-tune your model unless you have access to GPT-4' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:clinical nlp.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,Two Senses of Experimental Robustness: Result Robustness and Procedure Robustness,https://doi.org/10.1093/bjps/axy031,10.1093/bjps/axy031,2022,The British Journal for the Philosophy of Science,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Two Senses of Experimental Robustness: Result Robustness and Procedure Robustness' contributes a 'paper' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:robustness.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T04,paper,LLM-Augmented Symptom Analysis for Cardiovascular Disease Risk Prediction: A Clinical NLP Approach,https://doi.org/10.1109/CME67420.2025.11239360,10.1109/CME67420.2025.11239360,2025,2025 19th International Conference on Complex Medical Engineering (CME),empirical,ADJACENT,0.25,,Relevance 0.25: paper titled 'LLM-Augmented Symptom Analysis for Cardiovascular Disease Risk Prediction: A Clinical NLP Approach' contributes a 'empirical' matching target artifact 'benchmark+tool'. Matched keywords: kw:title:clinical nlp.,Our proposed work focuses specifically on 'Prompt-template sensitivity benchmark for clinical-domain LLM judges'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
