topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
T07_N1,paper,Red Teaming the Mind of the Machine: A Systematic Evaluation of Prompt Injection and Jailbreak Vulnerabilities in LLMs,https://doi.org/10.48550/arXiv.2505.04806,10.48550/arXiv.2505.04806,2025,arXiv.org,tool,DIRECT_OVERLAP,0.625,,Relevance 0.62: paper titled 'Red Teaming the Mind of the Machine: A Systematic Evaluation of Prompt Injection and Jailbreak Vulne' contributes a 'tool' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection|syn:title:jailbreak.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,none
T07_N1,paper,Signed-prompt: A new approach to prevent prompt injection attacks against LLM-Integrated applications,https://doi.org/10.1063/5.0222987,10.1063/5.0222987,2024,AIP Conference Proceedings,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Signed-prompt: A new approach to prevent prompt injection attacks against LLM-Integrated application' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
T07_N1,paper,Mind Mapping Prompt Injection: Visual Prompt Injection Attacks in Modern Large Language Models,https://doi.org/10.3390/electronics14101907,10.3390/electronics14101907,2025,Electronics,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Mind Mapping Prompt Injection: Visual Prompt Injection Attacks in Modern Large Language Models' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
T07_N1,paper,Enhancing Security in Large Language Models: A Comprehensive Review of Prompt Injection Attacks and Defenses,https://doi.org/10.36227/techrxiv.172954263.32914470/v1,10.36227/techrxiv.172954263.32914470/v1,2024,,survey,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Enhancing Security in Large Language Models: A Comprehensive Review of Prompt Injection Attacks and ' contributes a 'survey' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
T07_N1,paper,Prompt Injection,https://doi.org/10.61608/9783775757027-002,10.61608/9783775757027-002,2024,Worldbuilding,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Prompt Injection' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
T07_N1,paper,An Evaluation of the Safety of ChatGPT with Malicious Prompt Injection,https://doi.org/10.21203/rs.3.rs-4487194/v1,10.21203/rs.3.rs-4487194/v1,2024,,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'An Evaluation of the Safety of ChatGPT with Malicious Prompt Injection' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
T07_N1,paper,REAL TIME AI DEFENSE AGAINST PROMPT INJECTION ATTACKS,https://doi.org/10.37962/icydd/2025/23-24,10.37962/icydd/2025/23-24,2025,2nd International Conference on Cybersecurity and Digital Defense (ICyDD),paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'REAL TIME AI DEFENSE AGAINST PROMPT INJECTION ATTACKS' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
T07_N1,paper,Reconstruction-Based Prompt Generation Algorithm for Prompt Injection Attacks,https://doi.org/10.1109/aann66429.2025.11257661,10.1109/aann66429.2025.11257661,2025,2025 5th International Conference on Advanced Algorithms and Neural Networks (AANN),paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Reconstruction-Based Prompt Generation Algorithm for Prompt Injection Attacks' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
T07_N1,paper,Intent Vectoring: Black-Box Prompt Injection Detection via Semantic Trajectory Monitoring,https://doi.org/10.2139/ssrn.6280858,10.2139/ssrn.6280858,2026,,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Intent Vectoring: Black-Box Prompt Injection Detection via Semantic Trajectory Monitoring' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
T07_N1,paper,Dynamic Moving Target Defense for Mitigating Targeted LLM Prompt Injection,https://doi.org/10.36227/techrxiv.171822345.56781952/v1,10.36227/techrxiv.171822345.56781952/v1,2024,,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Dynamic Moving Target Defense for Mitigating Targeted LLM Prompt Injection' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:prompt injection.,Our proposed work focuses specifically on 'Judge robustness to candidate-side prompt injection — noise-pruned'. Narrowing note: removed noisy secondaries=['adversarial robustness']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
