topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
T37_N1,paper,First ‘NICE-curated’ clinical guideline announced,https://doi.org/10.1211/pj.2025.1.372584,10.1211/pj.2025.1.372584,2025,Pharmaceutical Journal,paper,PARTIAL_OVERLAP,0.625,,Relevance 0.62: paper titled 'First ‘NICE-curated’ clinical guideline announced' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline|syn:title:nice.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,"CDC Clinical Guidelines on the Use of Doxycycline Postexposure Prophylaxis for Bacterial Sexually Transmitted Infection Prevention, United States, 2024",https://doi.org/10.15585/mmwr.rr7302a1,10.15585/mmwr.rr7302a1,2024,MMWR Recommendations and Reports,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'CDC Clinical Guidelines on the Use of Doxycycline Postexposure Prophylaxis for Bacterial Sexually Tr' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,ACG Clinical Guideline: Diagnosis and Management of Eosinophilic Esophagitis.,https://doi.org/10.14309/ajg.0000000000003194,10.14309/ajg.0000000000003194,2025,American Journal of Gastroenterology,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'ACG Clinical Guideline: Diagnosis and Management of Eosinophilic Esophagitis.' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,ACG Clinical Guideline Update: Ulcerative Colitis in Adults,https://doi.org/10.14309/ajg.0000000000003463,10.14309/ajg.0000000000003463,2025,American Journal of Gastroenterology,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'ACG Clinical Guideline Update: Ulcerative Colitis in Adults' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,ACG Clinical Guideline: Management of Crohn's Disease in Adults,https://doi.org/10.14309/ajg.0000000000003465,10.14309/ajg.0000000000003465,2025,American Journal of Gastroenterology,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'ACG Clinical Guideline: Management of Crohn's Disease in Adults' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,ACG Clinical Guideline: Malnutrition and Nutritional Recommendations in Liver Disease,https://doi.org/10.14309/ajg.0000000000003379,10.14309/ajg.0000000000003379,2025,American Journal of Gastroenterology,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'ACG Clinical Guideline: Malnutrition and Nutritional Recommendations in Liver Disease' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,ACG Clinical Guideline: Diagnosis and Management of Gastric Premalignant Conditions,https://doi.org/10.14309/ajg.0000000000003350,10.14309/ajg.0000000000003350,2025,American Journal of Gastroenterology,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'ACG Clinical Guideline: Diagnosis and Management of Gastric Premalignant Conditions' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,The 2024 UK clinical guideline for the prevention and treatment of osteoporosis,https://doi.org/10.1007/s11657-025-01588-3,10.1007/s11657-025-01588-3,2025,Archives of Osteoporosis,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'The 2024 UK clinical guideline for the prevention and treatment of osteoporosis' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,ACG Clinical Guideline Update: Preventive Care in Inflammatory Bowel Disease.,https://doi.org/10.14309/ajg.0000000000003541,10.14309/ajg.0000000000003541,2025,American Journal of Gastroenterology,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'ACG Clinical Guideline Update: Preventive Care in Inflammatory Bowel Disease.' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,Appraisal of Clinical Practice Guideline: Australian Clinical Guideline for Physical Rehabilitation and Mobilisation in Adult Intensive Care Units: 2023,https://doi.org/10.1016/j.jphys.2024.05.009,10.1016/j.jphys.2024.05.009,2024,Journal of Physiotherapy,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Appraisal of Clinical Practice Guideline: Australian Clinical Guideline for Physical Rehabilitation ' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:title:clinical guideline.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T37_N1,paper,"CDC Guidelines for the Prevention and Treatment of Anthrax, 2023",https://doi.org/10.15585/mmwr.rr7206a1,10.15585/mmwr.rr7206a1,2023,MMWR Recommendations and Reports,paper,ADJACENT,0.312,,"Relevance 0.31: paper titled 'CDC Guidelines for the Prevention and Treatment of Anthrax, 2023' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: primary:abstract:clinical guideline|syn:title:cdc guidelines.",Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T37_N1,paper,Model Drift in Dynamic Networks,https://doi.org/10.1109/MCOM.003.2200306,10.1109/MCOM.003.2200306,2023,IEEE Communications Magazine,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Model Drift in Dynamic Networks' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: kw:title:model drift.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T37_N1,paper,"Performance of GPT-4 on the American College of Radiology In-training Examination: Evaluating Accuracy, Model Drift, and Fine-tuning.",https://doi.org/10.1016/j.acra.2024.04.006,10.1016/j.acra.2024.04.006,2024,Academic Radiology,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Performance of GPT-4 on the American College of Radiology In-training Examination: Evaluating Accura' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: kw:title:model drift.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
T37_N1,paper,Machine Learning Model Drift: Predicting Diagnostic Imaging Follow-Up as a Case Example.,https://doi.org/10.1016/j.jacr.2022.05.030,10.1016/j.jacr.2022.05.030,2022,Journal of the American College of Radiology,paper,ADJACENT,0.25,,Relevance 0.25: paper titled 'Machine Learning Model Drift: Predicting Diagnostic Imaging Follow-Up as a Case Example.' contributes a 'paper' matching target artifact 'empirical'. Matched keywords: kw:title:model drift.,Our proposed work focuses specifically on 'Clinical-guideline consistency across LLM versions over time — noise-pruned'. Narrowing note: removed noisy secondaries=['longitudinal evaluation']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,strong
